Official (scientific) name,Common name
Branta sandvicensis,
Bradyrhizobium sp. (strain BTAi1 / ATCC BAA-1182),
Brasenia schreberi,
Branchipolynoe seepensis,
Brachyopsis segaliensis,
Brachyurophis semifasciatus,
Brachypelma smithi,
Bradyrhizobium sp. (strain NC92),
Bradyrhizobium sp. (strain ORS 278),
Bradyrhizobium sp. (strain ANU 289),
Bradyrhizobium sp. (strain RP501 Parasponia),
Bradyrhizobium sp. (strain SNU001),
Branchipolynoe symmytilida,
Bradyrhizobium sp. (strain WM9),
Brachypodium sylvaticum,
Bradyrhizobium sp.,
Bradypodion taeniabronchum,
Bradypodion transvaalense,
Brassica tournefortii,
Bradyrhizobium tropiciagri,
Bradypus tridactylus,
Brachaluteres ulvarum,
Bradypus variegatus,
Bradypodion ventrale,
Brachylophus vitiensis,
Bradabyssa villosa,
Breviata anathema,
Brevinema andersonii,
Brevibacillus brevis,
Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599),
Brevicoryne brassicae,
Brevibacillus choshinensis,
Brevundimonas diminuta (strain ATCC 11568 / DSM 7234 / NBRC 12697 / NCIMB 9393 / NCTC 8545),
Brevundimonas diminuta,
Brevibacterium epidermidis,
Brevibacterium helvolum,
Brevibacillus laterosporus,
Bremia lactucae,
Brevibacterium linens,
Brexia madagascariensis,
Bregmaceros nectabanus,
Brevibacillus parabrevis,
Brevipalpus phoenicis,
Brenthia pavonacella,
Brevundimonas subvibrioides (strain ATCC 15264 / DSM 4735 / LMG 14903 / NBRC 16000 / CB 81),
Bretschneidera sinensis,
Brevibacterium sterolicum,
Brevundimonas vesicularis,
Brimeura amethystina,
Brighamia insignis,
Briza maxima,
Brindalus porcicollis,
Brookesia ambreensis,
Brookesia antakarana,
Brotia armata,
Bromus arvensis,
Brookesia brygooi,
Bromus catharticus,
Bromus commutatus,
Brodiaea coronaria,
Brownea coccinea,
Bronchocela cristatella,
Brookesia decaryi,
Bromus erectus,
Brodiaea filifolia,
Bromus hordeaceus,
Bromus inermis,
Brontispa longissima,
Brocchinia micrantha,
Brookesia minima,
Brodiaea orcuttii,
Broussonetia papyrifera,
Brookesia perarmata,
Brotia pagodula,
Bromus pictus,
Brotogeris pyrrhoptera,
Brookesia peyrierasi,
Brochymena quadripustulata,
Broughtonia sanguinea,
Bromus secalinus,
Brookesia stumpffi,
Bromus sterilis,
Brookesia superciliaris,
Bromus tectorum,
Brochothrix thermosphacta,
Brookesia tuberculata,
Brotogeris versicolurus,
Brucella abortus (strain S19),
Brucella abortus (strain 2308),
Brucella anthropi (strain ATCC 49188 / DSM 6882 / CCUG 24695 / JCM 21032 / LMG 3331 / NBRC 15819 / NCTC 12168 / Alc 37),
Brucella abortus (strain NCTC 8038),
Brucella abortus biovar 1 (strain 9-941),
Brucella anthropi,
Brucella abortus,
Brugmansia arborea,
Brunsvigia bosmaniae,
Bruchus brachialis,
Brucella canis (strain ATCC 23365 / NCTC 10854),
Brucella canis,
Bruchidius cisti,
Bruguiera gymnorhiza,
Brucella melitensis (strain M5-90),
Brugia malayi,
Brucella melitensis biotype 2 (strain ATCC 23457),
Brucella microti (strain CCM 4915),
Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094),
Brucella melitensis,
Brucella melitensis (strain M28),
Brumimicrobium mesophilum,
Brucella neotomae,
Bruchidius nigricornis,
Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512),
Brucella ovis,
Brugia pahangi,
Brucella pinnipedialis (strain NCTC 12890 / BCCN 94-73 / B2/94),
Bruchus pisorum,
Bruchidius pusillus,
Bruchus rufimanus,
Brucella suis (strain ATCC 23445 / NCTC 10510),
Brucella suis,
Brucella suis biovar 1 (strain 1330),
Bruchidius villosus,
Brycon argenteus,
Bryonia dioica,
Bryopsis hypnoides,
Bryopsis maxima,
Bryoxiphium norvegicum,
Bryopsis plumosa,
Bluetongue virus 10 (isolate USA),
Bluetongue virus 11 (isolate USA),
Bluetongue virus 13 (isolate USA),
Bluetongue virus 17 (isolate USA),
Bluetongue virus 1 (isolate Australia),
Bluetongue virus 1 (isolate South Africa),
Bluetongue virus 1 (isolate South Africa vaccine),
Bluetongue virus 10,
Bluetongue virus 20 (isolate Australia),
Bluetongue virus 2 (isolate USA),
Bluetongue virus 3 (isolate South Africa vaccine),
Bluetongue virus 13 (isolate 13B89Z),
Bubo africanus,
Bubo ascalaphus,
Bubo bubo,
Bubo bengalensis,
Bubo blakistoni,
Bubalus bubalis,
Bubalus bubalis x Bubalus carabanensis,
Bubalus carabanensis,
Bubalus depressicornis,
Bubulcus ibis,
Bubo lacteus,
Bubo magellanicus,
Bubo nipalensis,
Bubalus quarlesi,
Bubo scandiacus,
Bubo virginianus,
Buchnera aphidicola subsp. Acyrthosiphon pisum (strain LL01),
Buchnera aphidicola subsp. Acyrthosiphon pisum (strain TLW03),
Buchnera aphidicola subsp. Acyrthosiphon pisum (strain 5A),
Bucorvus abyssinicus,
Buchnera aphidicola subsp. Acyrthosiphon pisum (strain JF99),
Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS),
Buchnera aphidicola subsp. Acyrthosiphon pisum (strain JF98),
Buchnera aphidicola subsp. Acyrthosiphon kondoi,
Buchnera aphidicola subsp. Schizaphis graminum (strain Sg),
Buchnera aphidicola subsp. Aulacorthum solani,
Buchnera aphidicola subsp. Acyrthosiphon pisum (strain Tuc7),
Buceros bicornis,
Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),
Buchnera aphidicola subsp. Cinara cedri (strain Cc),
Bucephala clangula,
Buchnera aphidicola subsp. Chaetophorus leucomelas,
Buchnera aphidicola subsp. Diuraphis noxia,
Buchnera aphidicola subsp. Geoica urticularia,
Bucephala islandica,
Buchnera aphidicola subsp. Metopolophium dirhodum,
Buchnera aphidicola subsp. Melaphis rhois,
Buchnera aphidicola subsp. Mindarus kinseyi,
Buchnera aphidicola subsp. Macrosiphoniella ludovicianae,
Buchnera aphidicola subsp. Myzus persicae,
Buchnera aphidicola subsp. Macrosiphum rosae,
Buchanania obovata,
Buchnera aphidicola subsp. Pemphigus betae,
Buchnera aphidicola subsp. Pterocomma populeum,
Buchnera aphidicola subsp. Pemphigus spyrothecae,
Buchnera aphidicola subsp. Rhopalosiphum cerasifoliae,
Buceros rhinoceros,
Buchnera aphidicola subsp. Rhopalosiphum insertum,
Buchnera aphidicola subsp. Rhopalosiphum maidis,
Buchnera aphidicola subsp. Rhopalosiphum padi,
Buchnera aphidicola subsp. Schlechtendalia chinensis,
Buchnera aphidicola subsp. Tetraneura caerulescens,
Buchnera aphidicola subsp. Thelaxes suberi,
Buchnera aphidicola subsp. Tuberolachnus salignus,
Buchnera aphidicola subsp. Uroleucon aeneum,
Buchnera aphidicola subsp. Uroleucon jaceicola,
Buchnera aphidicola subsp. Uroleucon rudbeckiae,
Buchnera aphidicola subsp. Uroleucon erigeronensis,
Buchnera aphidicola subsp. Uroleucon helianthicola,
Buchnera aphidicola subsp. Uroleucon jaceae,
Buchnera aphidicola subsp. Uroleucon rurale,
Buchnera aphidicola subsp. Uroleucon ambrosiae,
Buchnera aphidicola subsp. Uroleucon sonchi,
Buchnera aphidicola subsp. Uroleucon obscurum,
Buchnera aphidicola subsp. Uroleucon rapunculoidis,
Buchnera aphidicola subsp. Uroleucon solidaginis,
Buchnera aphidicola subsp. Uroleucon astronomus,
Buccinum undatum,
Buddleja davidii,
Buddleja saligna,
Budorcas taxicolor,
Buergeria buergeri,
Bufo bankorensis,
Bufo bufo,
Bufo gargarizans andrewsi,
Bufo gargarizans,
Bufo japonicus,
Bufo japonicus formosus,
Bufoceratias thele,
Bufo tibetanus,
Bufotes viridis,
Bugeranus carunculatus,
Bugula cucullata,
Bugula flabellata,
Bugula neritina,
Buhoma procterae,
Bullimus bagobus,
Bullimus gamay,
Bulla gouldiana,
Bullimus luzonicus,
Bulimina marginata,
Bullia rhodostoma,
Bulinus truncatus,
Bumilleriopsis filiformis,
Bumba pulcherrimaklaasi,
Bungarus candidus,
Bungarus caeruleus,
Bunodosoma caissarum,
Bunodosoma cangicum,
Bunocephalus coracoideus,
Bunodosoma capense,
Bunodosoma cavernatum,
Bungarus fasciatus,
Bungarus flaviceps flaviceps,
Bunyavirus germiston,
Bunodosoma granuliferum,
Bunyavirus La Crosse (isolate Aedes triseriatus/United States/L74/1974),
Bunyavirus La Crosse (isolate Human/United States/L78/1978),
Bunyavirus La Crosse,
Bungarus multicinctus multicinctus,
Bunolagus monticularis,
Bungarus multicinctus,
Bunyavirus snowshoe hare,
Bunopus tuberculatus,
Bupleurum americanum,
Bupleurum chinense,
Bupleurum falcatum,
Bupleurum rotundifolium,
Burkholderia ambifaria (strain MC40-6),
Burkholderia cenocepacia (strain H111),
Burkholderia cepacia,
Burkholderia cenocepacia (strain HI2424),
Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610),
Burkholderia ambifaria (strain ATCC BAA-244 / AMMD),
Burkholderia gladioli,
Burkholderia glumae (strain BGR1),
Burkholderia glumae,
Burhinus grallarius,
Burkholderia gladioli (strain BSR3),
Bursera inaguensis,
Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383),
Bursatella leachii,
Burkholderia multivorans (strain ATCC 17616 / 249),
Burkholderia mallei (strain NCTC 10247),
Burkholderia mallei (strain NCTC 10229),
Burkholderia mallei (strain ATCC 23344),
Burkholderia mallei,
Burkholderia mallei (strain SAVP1),
Bursaphelenchus mucronatus,
Burkholderia orbicola (strain MC0-3),
Burkholderia orbicola (strain AU 1054),
Burhinus oedicnemus,
Burkholderia pseudomallei (strain 1106a),
Burkholderia pseudomallei (strain 1710b),
Burkholderia pseudomallei (strain 1026b),
Burkholderia pseudomallei (strain 668),
Burramys parvus,
Burkholderia pseudomallei (strain 1106b),
Burkholderia pseudomallei,
Burkholderia plantarii,
Burkholderia pseudomallei (strain K96243),
Burkholderia pyrrocinia,
Burhinus senegalensis,
Burkholderia sp. (strain CCGE1003),
Burkholderia sp.,
Burkholderia sp. (strain RASC),
Burkholderia sp. (strain TH2),
Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CCUG 48851 / CIP 106301 / E264),
Burkholderia thailandensis,
Burkholderia vietnamiensis (strain G4 / LMG 22486),
Burkholderia vietnamiensis,
Bursaphelenchus xylophilus,
Busycotypus canaliculatus,
Busycon carica,
Buteo albigula,
Buteogallus anthracinus,
Buteo albonotatus,
Buthacus arenicola,
Buteo brachyurus,
Buteo buteo,
Butia capitata,
Butyrivibrio fibrisolvens,
Buteo galapagoensis,
Buteo hemilasius,
Buteo jamaicensis,
Buteo lagopus,
Buthacus leptochelys,
Buteo lineatus,
Buthacus macrocentrus,
Butyribacterium methylotrophicum,
Butea monosperma,
Buteo nitidus,
Buthus occitanus tunetanus,
Buthus occitanus,
Buthus occitanus mardochei,
Buthus occitanus israelis,
Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316),
Buteo platypterus,
Buteo regalis,
Buteo ridgwayi,
Buttiauxella sp. (strain PNBS),
Butorides striata,
Buteo swainsoni,
Butomus umbellatus,
Butorides virescens,
Buxbaumia aphylla,
Buxus microphylla,
Buxus sempervirens,
Byasa alcinous,
Byblis liniflora,
Bycanistes brevis,
Bycanistes bucinator,
Byctiscus populi,
Bean yellow mosaic virus,
Byrsonima crassifolia,
Byssochlamys spectabilis (strain No. 5 / NBRC 109023),
Byssochlamys spectabilis,
Bythograea thermydron,
Cabomba caroliniana,
Cabassous unicinctus,
Cacatua alba,
Cacajao calvus,
Cactoblastis cactorum,
Cacicus cela,
Cacatua ducorpsii,
Cavenderia fasciculata,
Cacatua galerita,
Cacatua goffiniana,
Cacatua haematuropygia,
Cacajao melanocephalus,
Cacatua moluccensis,
Cacomantis merulinus,
Cacatua ophthalmica,
Cacicus solitarius,
Cacatua sulphurea,
Cacicus uropygialis,
Cadra cautella,
Cadlina laevis,
Caenorhabditis brenneri,
Caenorhabditis briggsae,
Caesio caerulaurea,
Caenurgina crassiuscula,
Caesio cuning,
Caenorhabditis elegans,
Caerostris extrusa,
Caenolestes fuliginosus,
Caecilia gracilis,
Caenorhabditis japonica,
Caenorhabditis remanei,
Caedibacter taeniospiralis,
Caecilia tentaculata,
Caecilia volcani,
Cafeteria roenbergensis,
Caiman crocodilus apaporiensis,
Caiman crocodilus,
Cairina moschata,
Cajanus cajan,
Cakile maritima,
Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B),
Calochortus albus,
Calidris acuminata,
Calliphora augur,
Calopteryx aequabilis,
Calliphona alluaudi,
Calathus angularis,
Callogorgia americana,
Calliphora albifrontalis,
Callizzia amorata,
Calcarisporium arbuscula,
Callicarpa americana,
Calypte anna,
Caledoniscincus austrocaledonicus,
Calochortus apiculatus,
Calamagrostis arenaria,
Caldilinea aerophila (strain DSM 14535 / JCM 11387 / NBRC 104270 / STL-6-O1),
Callinectes arcuatus,
Callithrix aurita,
Caldithrix abyssi,
Calidris bairdii,
Callophyllis beringensis,
Calliptamus barbarus,
Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320),
Callinectes bellicosus,
Calliophis bivirgatus,
Calosilpha brunnicollis,
Calyptorhynchus banksii,
Calumma boettgeri,
Callianax biplicata,
Calumma brevicorne,
Caldicellulosiruptor bescii,
Calathus brevis,
Calycophyllum candidissimum,
Calathea crotalifera,
Callipepla californica,
Calomera cardoni,
Calliandra californica,
Callorhinchus capensis,
Callistephus chinensis,
Calathus cinctus,
Calliope calliope,
Calomys callosus,
Caligus clemensi,
Callosciurus caniceps,
Calypte costae,
Calodendrum capense,
Calotomus carolinus,
Callosobruchus chinensis,
Calidris canutus,
Calumma cucullatum,
Callorhinchus callorynchus,
Callinectes danae,
Calicophoron daubneyi,
Calleida decora,
Calopteryx dimidiata,
Calocedrus decurrens,
Callicarpa dichotoma,
Callimedusa duellmani,
Calonectris diomedea,
Callisaurus draconoides,
Calliphora dubia,
Caldisericum exile (strain DSM 21853 / NBRC 104410 / AZM16c01),
Calliandra eriophylla,
Calamagrostis epigeios,
Callosciurus erythraeus,
Calpodes ethlius,
Calidris fuscicollis,
Calyptophilus frugivorus,
Calomys fecundus,
Calypogeia fissa,
Calidris ferruginea,
Calycanthus floridus var. glaucus,
Calanus finmarchicus,
Calycanthus floridus,
Calocedrus formosana,
Calocitta formosa,
Calumma furcifer,
Calathus fuscipes,
Caladenia flava,
Calumma gastrotaenia,
Calumia godeffroyi,
Callithrix geoffroyi,
Calotropis gigantea,
Callipepla gambelii,
Callimico goeldii,
Callinina georgiana,
Calyptocephalella gayi,
Caldicellulosiruptor hydrothermalis (strain DSM 18901 / VKM B-2411 / 108),
Calidris himantopus,
Callitriche heterophylla,
Calumma hilleniusi,
Calliphora hilli,
Calomys hummelincki,
Calosoma inquisitor,
Calophyllum inophyllum,
Caluromysiops irrupta,
Calidris subruficollis,
Calliptamus italicus,
Callirhoe involucrata,
Callithrix jacchus,
Callicarpa japonica,
Caldicellulosiruptor kronotskyensis (strain DSM 18902 / VKM B-2412 / 2002),
Callithrix kuhlii,
Calonectria kyotensis,
Calcarius lapponicus,
Calomys laucha,
Caldisphaera lagunensis (strain DSM 15908 / JCM 11604 / ANMR 0165 / IC-154),
Calonectris leucomelas,
Calathus leechi,
Calyptommatus leiolepis,
Calomera lunulata,
Caluromys lanatus,
Calomera littoralis,
Calomys lepidus,
Callospermophilus lateralis,
Calostemma luteum,
Calochortus luteus,
Caldalkalibacillus mannanilyticus (strain DSM 16130 / CIP 109019 / JCM 10596 / AM-001),
Calidris maritima,
Calidris minutilla,
Calopteryx maculata,
Calea megacephala,
Calocaris macandreae,
Callospermophilus madrensis,
Callytron malabaricum,
Callorhinchus milii,
Caloramator mitchellensis,
Calathus mollis,
Calidris melanotos,
Calicophoron microbothrioides,
Callistoctopus macropus,
Caldivirga maquilingensis (strain ATCC 700844 / DSM 13496 / JCM 10307 / IC-167),
Calidris mauri,
Callosobruchus maculatus,
Calumma malthe,
Calomys musculinus,
Calamospiza melanocorys,
Calumma nasutum,
Caloenas nicobarica,
Caldococcus noboribetus,
Callosciurus notatus,
Calditerrivibrio nitroreducens (strain DSM 19672 / NBRC 101217 / Yu37-1),
Calcinus obscurus,
Calycanthus occidentalis,
Calendula officinalis,
Calliphora ochracea,
Caldicellulosiruptor obsidiansis (strain ATCC BAA-2073 / strain OB47),
Calcarius ornatus,
Calumma oshaughnessyi,
Caldicellulosiruptor owensensis (strain ATCC 700167 / DSM 13100 / OL),
Calliactis parasitica,
Calcarius pictus,
Caluromys philander,
Calla palustris,
Calligrapha philadelphica,
Callithrix penicillata,
Callyspongia plicifera,
Caltha palustris,
Calamaria pavimentata,
Callicebus personatus nigrifrons,
Callistemon polandii,
Callicebus personatus personatus,
Calumma parsonii,
Callosobruchus phaseoli,
Calidris ptilocnemis,
Calidris pusilla,
Callosciurus prevostii,
Calvia quattuordecimguttata,
Callophrys rubi,
Callisia repens,
Calloselasma rhodostoma,
Calabaria reinhardtii,
Caligus rogercresseyi,
Calathus ruficollis,
Caldiarchaeum subterraneum,
Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4),
Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331),
Caldicellulosiruptor saccharolyticus,
Calosoma scrutator,
Callipepla squamata castanogastris,
Calopteryx splendens,
Calystegia sepium,
Callicoma serratifolia,
Calliphora stygia,
Calyptrosphaera sphaeroidea,
Callinectes sapidus,
Callianassa subterranea,
Calyptommatus sinebrachiatus,
Calystegia soldanella,
Callophrys spinetorum,
Calliandra surinamensis,
Callipepla squamata pallida,
Caldicellulosiruptor sp. (strain Rt8B.4),
Calomys sorellus,
Callitriche stagnalis,
Callipepla squamata,
Callospermophilus saturatus,
Caldanaerobacter subterraneus subsp. yonseiensis,
Calosoma sycophanta,
Calochortus splendens,
Calliarthron tuberculosum,
Calomys tener,
Calyptra thalictri,
Caldalkalibacillus thermarum (strain TA2.A1),
Calopogon tuberosus,
Callorhinus ursinus,
Calamus usitatus,
Calyptocarpus vialis,
Calephelis virginiensis,
Calotes versicolor,
Calocera viscosa (strain TUFC12733),
Calopteryx virgo,
Calliphora vicina,
Callophyllis violacea,
Calomys venustus,
Calliphora vomitoria,
Calyptomena viridis,
Callyspongia vaginalis,
Calochortus weedii,
Camptotheca acuminata,
Camissonia arenaria,
Camponotus atriceps,
Camelus bactrianus,
Camellia brevistyla,
Camissonia boothii,
Campylorhynchus brunneicapillus,
Campylobacter concisus (strain 13826),
Campylobacter curvus (strain 525.92),
Cambarellus chapalanus,
Camaena cicatricosa,
Campylobacter coli,
Camellia crassicolumna,
Campylopterus curvipennis,
Campylobacter fetus,
Campylobacter fetus subsp. fetus (strain 82-40),
Campephaga flava,
Camponotus floridanus,
Camelus ferus,
Campsis grandiflora,
Campephilus guatemalensis,
Cambarus hamulatus,
Campylobacter hominis (strain ATCC BAA-381 / LMG 19568 / NCTC 13146 / CH001A),
Camelops hesternus,
Cambarus hubrichti,
Campylobacter hyointestinalis,
Camptostoma imberbe,
Campephilus imperialis,
Camellia irrawadiensis,
Campylobacter jejuni subsp. jejuni serotype O:6 (strain 81116 / NCTC 11828),
Campylobacter jejuni subsp. jejuni serotype HS:41 (strain ICDCCJ07001),
Campylobacter jejuni subsp. doylei (strain ATCC BAA-1458 / RM4099 / 269.97),
Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),
Campylobacter jejuni subsp. jejuni (strain IA3902),
Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176),
Campylobacter jejuni subsp. jejuni serotype HS21 (strain M1 / 99/308),
Campylobacter jejuni (strain RM1221),
Campylobacter jejuni subsp. jejuni (strain S3),
Campylobacter jejuni,
Campylobacter lari,
Camassia leichtlinii,
Campylobacter lari (strain RM2100 / D67 / ATCC BAA-1060),
Cambarus maculatus,
Camelina microcarpa,
Campanula medium,
Campylocentrum micranthum,
Campylocentrum pachyrrhizum,
Camelpox virus (strain CP-1),
Camnula pellucida,
Campephilus principalis,
Camellia ptilophylla,
Camelpox virus (strain M-96),
Campaea perlata,
Camelpox virus (strain CMS),
Cambarellus patzcuarensis,
Camassia quamash,
Campsis radicans,
Campylobacter rectus,
Camelina sativa,
Camellia sinensis var. assamica,
Cambarellus shufeldtii,
Camassia scilloides,
Cambarellus schmitti,
Camellia sasanqua,
Campylostelium saxicola,
Camellia taliensis,
Campanula trachelium,
Campylobacter upsaliensis,
Canis adustus,
Candoia aspera,
Canis aureus,
Cancer borealis,
Canavalia boliviana,
Canavalia bonariensis,
Canavalia brasiliensis,
Cantua buxifolia,
Candoia carinata,
Canthigaster coronata,
Canavalia ensiformis,
Canna generalis,
Canavalia gladiata,
Cancer irroratus,
Cancellaria jayana,
Canavalia lineata,
Canis lupus,
Canthidermis maculata,
Canis mesomelas elongae,
Canis mesomelas,
Cananga odorata,
Cancer pagurus,
Cancer productus,
Canis rufus,
Canavalia rosea,
Cantharidus roseus,
